Name,Path,Model_Transcript
844424932406083-866-m.wav,/content/kathbath/kathbath/hindi/test/audio/866/844424932406083-866-m.wav, कि एक्सपर्ट का कहना है कि कच्चे तेल की कीमतों में आई गिरावट
844424932406064-866-m.wav,/content/kathbath/kathbath/hindi/test/audio/866/844424932406064-866-m.wav, सारा अपनी कई बोल्डत स्वीरें इंस्टाग्राम पर शेयर करती रहती है
844424932406085-866-m.wav,/content/kathbath/kathbath/hindi/test/audio/866/844424932406085-866-m.wav, कई जगा तो इन स्तारों पर दोखा दड़ी का केस दायर कर दिया गया है
844424932406094-866-m.wav,/content/kathbath/kathbath/hindi/test/audio/866/844424932406094-866-m.wav, बहे दूसरी तरफ सुपरस्टार विजे को बंब से उडाने की दंगी भी मिली है
844424932406093-866-m.wav,/content/kathbath/kathbath/hindi/test/audio/866/844424932406093-866-m.wav, बड़ी संख्या में खिलाडी और खेल प्रेमी उपस्थित थे
844424932406055-866-m.wav,/content/kathbath/kathbath/hindi/test/audio/866/844424932406055-866-m.wav, आज बरपूर उर्जा रहेगी और काम के गंटे भी बहुत आधिक रहेंगे।
844424932406114-866-m.wav,/content/kathbath/kathbath/hindi/test/audio/866/844424932406114-866-m.wav, कारेकरम की शुरुबात मा सर्श्वती के चर्णों में दीप प्रजलन से हुई
844424932406129-866-m.wav,/content/kathbath/kathbath/hindi/test/audio/866/844424932406129-866-m.wav, बालिवुड एक्टर्स अपनी शादी में सबसे खुशूरत लुक के लिए काफी त्यारी करती है।
844424932406065-866-m.wav,/content/kathbath/kathbath/hindi/test/audio/866/844424932406065-866-m.wav, इनी कारणों ने बीती रात परिवार ने एक साथ जहर खा लिया।
844424932406141-866-m.wav,/content/kathbath/kathbath/hindi/test/audio/866/844424932406141-866-m.wav, मैच में उनकी वग्गिदारी पर फैसला वापिस आने के वाद लिया जाएगा
844424932406058-866-m.wav,/content/kathbath/kathbath/hindi/test/audio/866/844424932406058-866-m.wav, 24 गंटे का जीवन मेरे 8 गंटे में लीन हो गया
844424932406134-866-m.wav,/content/kathbath/kathbath/hindi/test/audio/866/844424932406134-866-m.wav, श्री तोमर ने कहा कि संकल्प जदी मज़गूत हो तो परिणां भी श्रेष्ट होते हैं
844424932406119-866-m.wav,/content/kathbath/kathbath/hindi/test/audio/866/844424932406119-866-m.wav, जैसे थोड़े से पुन्य का कई गुनाफल प्राप्त होता है
